					Ab	Ab	Ab	Ab	Ab	Ab	A	A	A	A	A	A	Bb	Bb	Bb	Bb	Bb	Bb	B	B	B	B	B	B	C	C	C	C	C	C	Db	Db	Db	Db	Db	Db	D	D	D	D	D	D	Eb	Eb	Eb	Eb	Eb	Eb	E	E	E	E	E	E	F	F	F	F	F	F	Fs	Fs	Fs	Fs	Fs	Fs	G	G	G	G	G	G	Tags		NOTE: Columns marked with '*' should not be exported.		
					Gsm	Gsm	Gsm	Gsm	Gsm	Gsm	Am	Am	Am	Am	Am	Am	Bbm	Bbm	Bbm	Bbm	Bbm	Bbm	Bm	Bm	Bm	Bm	Bm	Bm	Cm	Cm	Cm	Cm	Cm	Cm	Csm	Csm	Csm	Csm	Csm	Csm	Dm	Dm	Dm	Dm	Dm	Dm	Ebm	Ebm	Ebm	Ebm	Ebm	Ebm	Em	Em	Em	Em	Em	Em	Fm	Fm	Fm	Fm	Fm	Fm	Fsm	Fsm	Fsm	Fsm	Fsm	Fsm	Gm	Gm	Gm	Gm	Gm	Gm	Tags				
Serial	Use Chromatics	Is Minor	Octave	Tone Number	Ab	0	0	0	0	0	A	1	1	1	1	1	Bb	2	2	2	2	2	B	3	3	3	3	3	C	4	4	4	4	4	Db	5	5	5	5	5	D	6	6	6	6	6	Eb	7	7	7	7	7	E	8	8	8	8	8	F	9	9	9	9	9	Fs	10	10	10	10	10	G	11	11	11	11	11	Tags		* Octave Number	* Steps from Tonic	* Is Chromatic Extension
					Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Cadence	File(s)	Tone	File(s)	Resolution	File(s)	Tags				
																																																																													__tmp__				
[3. The Major Scale]																																																																													__tmp__				
																																																																													__tmp__				
major_o5_n1			5th Octave	1	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:56.mp3]	56.mp3	[sound:56.mp3]	56.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:57.mp3]	57.mp3	[sound:57.mp3]	57.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:58.mp3]	58.mp3	[sound:58.mp3]	58.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:59.mp3]	59.mp3	[sound:59.mp3]	59.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:60.mp3]	60.mp3	[sound:60.mp3]	60.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:61.mp3]	61.mp3	[sound:61.mp3]	61.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:62.mp3]	62.mp3	[sound:62.mp3]	62.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:63.mp3]	63.mp3	[sound:63.mp3]	63.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:64.mp3]	64.mp3	[sound:64.mp3]	64.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:65.mp3]	65.mp3	[sound:65.mp3]	65.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:66.mp3]	66.mp3	[sound:66.mp3]	66.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:67.mp3]	67.mp3	[sound:67.mp3]	67.mp3	major_scale octave_5 tone_1		5	0	
major_o5_n2			5th Octave	2	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:58.mp3]	58.mp3	[sound:58.mp3][sound:56.mp3]	58.mp3,56.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:59.mp3]	59.mp3	[sound:59.mp3][sound:57.mp3]	59.mp3,57.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:60.mp3]	60.mp3	[sound:60.mp3][sound:58.mp3]	60.mp3,58.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:61.mp3]	61.mp3	[sound:61.mp3][sound:59.mp3]	61.mp3,59.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:62.mp3]	62.mp3	[sound:62.mp3][sound:60.mp3]	62.mp3,60.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:63.mp3]	63.mp3	[sound:63.mp3][sound:61.mp3]	63.mp3,61.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:64.mp3]	64.mp3	[sound:64.mp3][sound:62.mp3]	64.mp3,62.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:65.mp3]	65.mp3	[sound:65.mp3][sound:63.mp3]	65.mp3,63.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:66.mp3]	66.mp3	[sound:66.mp3][sound:64.mp3]	66.mp3,64.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:67.mp3]	67.mp3	[sound:67.mp3][sound:65.mp3]	67.mp3,65.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:68.mp3]	68.mp3	[sound:68.mp3][sound:66.mp3]	68.mp3,66.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:69.mp3]	69.mp3	[sound:69.mp3][sound:67.mp3]	69.mp3,67.mp3	major_scale octave_5 tone_2		5	2	
major_o5_n3			5th Octave	3	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:60.mp3]	60.mp3	[sound:60.mp3][sound:58.mp3][sound:56.mp3]	60.mp3,58.mp3,56.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:61.mp3]	61.mp3	[sound:61.mp3][sound:59.mp3][sound:57.mp3]	61.mp3,59.mp3,57.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:62.mp3]	62.mp3	[sound:62.mp3][sound:60.mp3][sound:58.mp3]	62.mp3,60.mp3,58.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:63.mp3]	63.mp3	[sound:63.mp3][sound:61.mp3][sound:59.mp3]	63.mp3,61.mp3,59.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:64.mp3]	64.mp3	[sound:64.mp3][sound:62.mp3][sound:60.mp3]	64.mp3,62.mp3,60.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:65.mp3]	65.mp3	[sound:65.mp3][sound:63.mp3][sound:61.mp3]	65.mp3,63.mp3,61.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:66.mp3]	66.mp3	[sound:66.mp3][sound:64.mp3][sound:62.mp3]	66.mp3,64.mp3,62.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:67.mp3]	67.mp3	[sound:67.mp3][sound:65.mp3][sound:63.mp3]	67.mp3,65.mp3,63.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:68.mp3]	68.mp3	[sound:68.mp3][sound:66.mp3][sound:64.mp3]	68.mp3,66.mp3,64.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:69.mp3]	69.mp3	[sound:69.mp3][sound:67.mp3][sound:65.mp3]	69.mp3,67.mp3,65.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:70.mp3]	70.mp3	[sound:70.mp3][sound:68.mp3][sound:66.mp3]	70.mp3,68.mp3,66.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:71.mp3]	71.mp3	[sound:71.mp3][sound:69.mp3][sound:67.mp3]	71.mp3,69.mp3,67.mp3	major_scale octave_5 tone_3		5	4	
major_o5_n4			5th Octave	4	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:61.mp3]	61.mp3	[sound:61.mp3][sound:60.mp3][sound:58.mp3][sound:56.mp3]	61.mp3,60.mp3,58.mp3,56.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:62.mp3]	62.mp3	[sound:62.mp3][sound:61.mp3][sound:59.mp3][sound:57.mp3]	62.mp3,61.mp3,59.mp3,57.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:63.mp3]	63.mp3	[sound:63.mp3][sound:62.mp3][sound:60.mp3][sound:58.mp3]	63.mp3,62.mp3,60.mp3,58.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:64.mp3]	64.mp3	[sound:64.mp3][sound:63.mp3][sound:61.mp3][sound:59.mp3]	64.mp3,63.mp3,61.mp3,59.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:65.mp3]	65.mp3	[sound:65.mp3][sound:64.mp3][sound:62.mp3][sound:60.mp3]	65.mp3,64.mp3,62.mp3,60.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:66.mp3]	66.mp3	[sound:66.mp3][sound:65.mp3][sound:63.mp3][sound:61.mp3]	66.mp3,65.mp3,63.mp3,61.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:67.mp3]	67.mp3	[sound:67.mp3][sound:66.mp3][sound:64.mp3][sound:62.mp3]	67.mp3,66.mp3,64.mp3,62.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:68.mp3]	68.mp3	[sound:68.mp3][sound:67.mp3][sound:65.mp3][sound:63.mp3]	68.mp3,67.mp3,65.mp3,63.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:69.mp3]	69.mp3	[sound:69.mp3][sound:68.mp3][sound:66.mp3][sound:64.mp3]	69.mp3,68.mp3,66.mp3,64.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:70.mp3]	70.mp3	[sound:70.mp3][sound:69.mp3][sound:67.mp3][sound:65.mp3]	70.mp3,69.mp3,67.mp3,65.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:71.mp3]	71.mp3	[sound:71.mp3][sound:70.mp3][sound:68.mp3][sound:66.mp3]	71.mp3,70.mp3,68.mp3,66.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:72.mp3]	72.mp3	[sound:72.mp3][sound:71.mp3][sound:69.mp3][sound:67.mp3]	72.mp3,71.mp3,69.mp3,67.mp3	major_scale octave_5 tone_4		5	5	
major_o5_n5			5th Octave	5	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:63.mp3]	63.mp3	[sound:63.mp3][sound:65.mp3][sound:67.mp3][sound:68.mp3]	63.mp3,65.mp3,67.mp3,68.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:64.mp3]	64.mp3	[sound:64.mp3][sound:66.mp3][sound:68.mp3][sound:69.mp3]	64.mp3,66.mp3,68.mp3,69.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:65.mp3]	65.mp3	[sound:65.mp3][sound:67.mp3][sound:69.mp3][sound:70.mp3]	65.mp3,67.mp3,69.mp3,70.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:66.mp3]	66.mp3	[sound:66.mp3][sound:68.mp3][sound:70.mp3][sound:71.mp3]	66.mp3,68.mp3,70.mp3,71.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:67.mp3]	67.mp3	[sound:67.mp3][sound:69.mp3][sound:71.mp3][sound:72.mp3]	67.mp3,69.mp3,71.mp3,72.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:68.mp3]	68.mp3	[sound:68.mp3][sound:70.mp3][sound:72.mp3][sound:73.mp3]	68.mp3,70.mp3,72.mp3,73.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:69.mp3]	69.mp3	[sound:69.mp3][sound:71.mp3][sound:73.mp3][sound:74.mp3]	69.mp3,71.mp3,73.mp3,74.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:70.mp3]	70.mp3	[sound:70.mp3][sound:72.mp3][sound:74.mp3][sound:75.mp3]	70.mp3,72.mp3,74.mp3,75.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:71.mp3]	71.mp3	[sound:71.mp3][sound:73.mp3][sound:75.mp3][sound:76.mp3]	71.mp3,73.mp3,75.mp3,76.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:72.mp3]	72.mp3	[sound:72.mp3][sound:74.mp3][sound:76.mp3][sound:77.mp3]	72.mp3,74.mp3,76.mp3,77.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:73.mp3]	73.mp3	[sound:73.mp3][sound:75.mp3][sound:77.mp3][sound:78.mp3]	73.mp3,75.mp3,77.mp3,78.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:74.mp3]	74.mp3	[sound:74.mp3][sound:76.mp3][sound:78.mp3][sound:79.mp3]	74.mp3,76.mp3,78.mp3,79.mp3	major_scale octave_5 tone_5		5	7	
major_o5_n6			5th Octave	6	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:65.mp3]	65.mp3	[sound:65.mp3][sound:67.mp3][sound:68.mp3]	65.mp3,67.mp3,68.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:66.mp3]	66.mp3	[sound:66.mp3][sound:68.mp3][sound:69.mp3]	66.mp3,68.mp3,69.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:67.mp3]	67.mp3	[sound:67.mp3][sound:69.mp3][sound:70.mp3]	67.mp3,69.mp3,70.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:68.mp3]	68.mp3	[sound:68.mp3][sound:70.mp3][sound:71.mp3]	68.mp3,70.mp3,71.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:69.mp3]	69.mp3	[sound:69.mp3][sound:71.mp3][sound:72.mp3]	69.mp3,71.mp3,72.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:70.mp3]	70.mp3	[sound:70.mp3][sound:72.mp3][sound:73.mp3]	70.mp3,72.mp3,73.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:71.mp3]	71.mp3	[sound:71.mp3][sound:73.mp3][sound:74.mp3]	71.mp3,73.mp3,74.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:72.mp3]	72.mp3	[sound:72.mp3][sound:74.mp3][sound:75.mp3]	72.mp3,74.mp3,75.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:73.mp3]	73.mp3	[sound:73.mp3][sound:75.mp3][sound:76.mp3]	73.mp3,75.mp3,76.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:74.mp3]	74.mp3	[sound:74.mp3][sound:76.mp3][sound:77.mp3]	74.mp3,76.mp3,77.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:75.mp3]	75.mp3	[sound:75.mp3][sound:77.mp3][sound:78.mp3]	75.mp3,77.mp3,78.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:76.mp3]	76.mp3	[sound:76.mp3][sound:78.mp3][sound:79.mp3]	76.mp3,78.mp3,79.mp3	major_scale octave_5 tone_6		5	9	
major_o5_n7			5th Octave	7	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:67.mp3]	67.mp3	[sound:67.mp3][sound:68.mp3]	67.mp3,68.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:68.mp3]	68.mp3	[sound:68.mp3][sound:69.mp3]	68.mp3,69.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:69.mp3]	69.mp3	[sound:69.mp3][sound:70.mp3]	69.mp3,70.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:70.mp3]	70.mp3	[sound:70.mp3][sound:71.mp3]	70.mp3,71.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:71.mp3]	71.mp3	[sound:71.mp3][sound:72.mp3]	71.mp3,72.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:72.mp3]	72.mp3	[sound:72.mp3][sound:73.mp3]	72.mp3,73.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:73.mp3]	73.mp3	[sound:73.mp3][sound:74.mp3]	73.mp3,74.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:74.mp3]	74.mp3	[sound:74.mp3][sound:75.mp3]	74.mp3,75.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:75.mp3]	75.mp3	[sound:75.mp3][sound:76.mp3]	75.mp3,76.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:76.mp3]	76.mp3	[sound:76.mp3][sound:77.mp3]	76.mp3,77.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:77.mp3]	77.mp3	[sound:77.mp3][sound:78.mp3]	77.mp3,78.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:78.mp3]	78.mp3	[sound:78.mp3][sound:79.mp3]	78.mp3,79.mp3	major_scale octave_5 tone_7		5	11	
																																																																													__tmp__				
major_o6_n1			6th Octave	1	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:68.mp3]	68.mp3	[sound:68.mp3]	68.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:69.mp3]	69.mp3	[sound:69.mp3]	69.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:70.mp3]	70.mp3	[sound:70.mp3]	70.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:71.mp3]	71.mp3	[sound:71.mp3]	71.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:72.mp3]	72.mp3	[sound:72.mp3]	72.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:73.mp3]	73.mp3	[sound:73.mp3]	73.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:74.mp3]	74.mp3	[sound:74.mp3]	74.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:75.mp3]	75.mp3	[sound:75.mp3]	75.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:76.mp3]	76.mp3	[sound:76.mp3]	76.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:77.mp3]	77.mp3	[sound:77.mp3]	77.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:78.mp3]	78.mp3	[sound:78.mp3]	78.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:79.mp3]	79.mp3	[sound:79.mp3]	79.mp3	major_scale octave_6 tone_1		6	0	
major_o6_n2			6th Octave	2	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:70.mp3]	70.mp3	[sound:70.mp3][sound:68.mp3]	70.mp3,68.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:71.mp3]	71.mp3	[sound:71.mp3][sound:69.mp3]	71.mp3,69.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:72.mp3]	72.mp3	[sound:72.mp3][sound:70.mp3]	72.mp3,70.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:73.mp3]	73.mp3	[sound:73.mp3][sound:71.mp3]	73.mp3,71.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:74.mp3]	74.mp3	[sound:74.mp3][sound:72.mp3]	74.mp3,72.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:75.mp3]	75.mp3	[sound:75.mp3][sound:73.mp3]	75.mp3,73.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:76.mp3]	76.mp3	[sound:76.mp3][sound:74.mp3]	76.mp3,74.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:77.mp3]	77.mp3	[sound:77.mp3][sound:75.mp3]	77.mp3,75.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:78.mp3]	78.mp3	[sound:78.mp3][sound:76.mp3]	78.mp3,76.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:79.mp3]	79.mp3	[sound:79.mp3][sound:77.mp3]	79.mp3,77.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:80.mp3]	80.mp3	[sound:80.mp3][sound:78.mp3]	80.mp3,78.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:81.mp3]	81.mp3	[sound:81.mp3][sound:79.mp3]	81.mp3,79.mp3	major_scale octave_6 tone_2		6	2	
major_o6_n3			6th Octave	3	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:72.mp3]	72.mp3	[sound:72.mp3][sound:70.mp3][sound:68.mp3]	72.mp3,70.mp3,68.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:73.mp3]	73.mp3	[sound:73.mp3][sound:71.mp3][sound:69.mp3]	73.mp3,71.mp3,69.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:74.mp3]	74.mp3	[sound:74.mp3][sound:72.mp3][sound:70.mp3]	74.mp3,72.mp3,70.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:75.mp3]	75.mp3	[sound:75.mp3][sound:73.mp3][sound:71.mp3]	75.mp3,73.mp3,71.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:76.mp3]	76.mp3	[sound:76.mp3][sound:74.mp3][sound:72.mp3]	76.mp3,74.mp3,72.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:77.mp3]	77.mp3	[sound:77.mp3][sound:75.mp3][sound:73.mp3]	77.mp3,75.mp3,73.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:78.mp3]	78.mp3	[sound:78.mp3][sound:76.mp3][sound:74.mp3]	78.mp3,76.mp3,74.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:79.mp3]	79.mp3	[sound:79.mp3][sound:77.mp3][sound:75.mp3]	79.mp3,77.mp3,75.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:80.mp3]	80.mp3	[sound:80.mp3][sound:78.mp3][sound:76.mp3]	80.mp3,78.mp3,76.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:81.mp3]	81.mp3	[sound:81.mp3][sound:79.mp3][sound:77.mp3]	81.mp3,79.mp3,77.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:82.mp3]	82.mp3	[sound:82.mp3][sound:80.mp3][sound:78.mp3]	82.mp3,80.mp3,78.mp3	[sound:1451_G.mp3]	1451_G.mp3	[sound:83.mp3]	83.mp3	[sound:83.mp3][sound:81.mp3][sound:79.mp3]	83.mp3,81.mp3,79.mp3	major_scale octave_6 tone_3		6	4	
major_o6_n4			6th Octave	4	[sound:1451_Ab.mp3]	1451_Ab.mp3	[sound:73.mp3]	73.mp3	[sound:73.mp3][sound:72.mp3][sound:70.mp3][sound:68.mp3]	73.mp3,72.mp3,70.mp3,68.mp3	[sound:1451_A.mp3]	1451_A.mp3	[sound:74.mp3]	74.mp3	[sound:74.mp3][sound:73.mp3][sound:71.mp3][sound:69.mp3]	74.mp3,73.mp3,71.mp3,69.mp3	[sound:1451_Bb.mp3]	1451_Bb.mp3	[sound:75.mp3]	75.mp3	[sound:75.mp3][sound:74.mp3][sound:72.mp3][sound:70.mp3]	75.mp3,74.mp3,72.mp3,70.mp3	[sound:1451_B.mp3]	1451_B.mp3	[sound:76.mp3]	76.mp3	[sound:76.mp3][sound:75.mp3][sound:73.mp3][sound:71.mp3]	76.mp3,75.mp3,73.mp3,71.mp3	[sound:1451_C.mp3]	1451_C.mp3	[sound:77.mp3]	77.mp3	[sound:77.mp3][sound:76.mp3][sound:74.mp3][sound:72.mp3]	77.mp3,76.mp3,74.mp3,72.mp3	[sound:1451_Db.mp3]	1451_Db.mp3	[sound:78.mp3]	78.mp3	[sound:78.mp3][sound:77.mp3][sound:75.mp3][sound:73.mp3]	78.mp3,77.mp3,75.mp3,73.mp3	[sound:1451_D.mp3]	1451_D.mp3	[sound:79.mp3]	79.mp3	[sound:79.mp3][sound:78.mp3][sound:76.mp3][sound:74.mp3]	79.mp3,78.mp3,76.mp3,74.mp3	[sound:1451_Eb.mp3]	1451_Eb.mp3	[sound:80.mp3]	80.mp3	[sound:80.mp3][sound:79.mp3][sound:77.mp3][sound:75.mp3]	80.mp3,79.mp3,77.mp3,75.mp3	[sound:1451_E.mp3]	1451_E.mp3	[sound:81.mp3]	81.mp3	[sound:81.mp3][sound:80.mp3][sound:78.mp3][sound:76.mp3]	81.mp3,80.mp3,78.mp3,76.mp3	[sound:1451_F.mp3]	1451_F.mp3	[sound:82.mp3]	82.mp3	[sound:82.mp3][sound:81.mp3][sound:79.mp3][sound:77.mp3]	82.mp3,81.mp3,79.mp3,77.mp3	[sound:1451_Fs.mp3]	1451_Fs.mp3	[sound:83.mp3]	83.mp3	[sound:83.mp3][sound:82.mp3][sound:80.mp3][sound:78.mp3]	83.mp3,82.mp3,80.mp3,78.mp3	[sound:1451_G.mp3]	1451_G.mp3					major_scale octave_6 tone_4		6	5	
