	Operation	Group	Group Offset	Ordinal Start	Ordinal End	Terminal End	Default Due	Tags	Op Index	Due Shift		Configs	Value
													
arith_add_g01_00_o01_02	Addition	1		1	2	10	1	o01_to_04 o01_to_05	1	-		Due Increments	1
arith_add_g01_00_o02_03	Addition	1		2	3	10	2	o01_to_04 o01_to_05	1			Max Ordinal	10
arith_add_g01_00_o03_04	Addition	1		3	4	10	3	o01_to_04 o01_to_05	1				
arith_add_g01_00_o04_05	Addition	1		4	5	10	4	o01_to_04 o01_to_05 o04_to_07	1			Operations	Serial
arith_add_g01_00_o05_06	Addition	1		5	6	10	5	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1			Addition	add
arith_add_g01_00_o06_07	Addition	1		6	7	10	6	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1			Subtraction	sub
arith_add_g01_00_o07_08	Addition	1		7	8	10	7	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g01_00_o08_09	Addition	1		8	9	10	8	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g01_00_o09_10	Addition	1		9	10	10	9	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g01_00_o10	Addition	1		10		10	10	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
		-	-	-	-	-							
arith_add_g02_00_o01_02	Addition	2	0	1	2	10	11	o01_to_04 o01_to_05	1				
arith_add_g02_00_o02_03	Addition	2	0	2	3	10	12	o01_to_04 o01_to_05	1				
arith_add_g02_00_o03_04	Addition	2	0	3	4	10	13	o01_to_04 o01_to_05	1				
arith_add_g02_00_o04_05	Addition	2	0	4	5	10	14	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g02_00_o05_06	Addition	2	0	5	6	10	15	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g02_00_o06_07	Addition	2	0	6	7	10	16	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g02_00_o07_08	Addition	2	0	7	8	10	17	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g02_00_o08_09	Addition	2	0	8	9	10	18	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g02_00_o09_10	Addition	2	0	9	10	10	19	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g02_00_o10	Addition	2	0	10		10	20	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g03_00_o01_02	Addition	3	0	1	2	10	21	o01_to_04 o01_to_05	1				
arith_add_g03_00_o02_03	Addition	3	0	2	3	10	22	o01_to_04 o01_to_05	1				
arith_add_g03_00_o03_04	Addition	3	0	3	4	10	23	o01_to_04 o01_to_05	1				
arith_add_g03_00_o04_05	Addition	3	0	4	5	10	24	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g03_00_o05_06	Addition	3	0	5	6	10	25	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g03_00_o06_07	Addition	3	0	6	7	10	26	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g03_00_o07_08	Addition	3	0	7	8	10	27	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g03_00_o08_09	Addition	3	0	8	9	10	28	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g03_00_o09_10	Addition	3	0	9	10	10	29	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g03_00_o10	Addition	3	0	10		10	30	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g04_00_o01_02	Addition	4	0	1	2	10	31	o01_to_04 o01_to_05	1				
arith_add_g04_00_o02_03	Addition	4	0	2	3	10	32	o01_to_04 o01_to_05	1				
arith_add_g04_00_o03_04	Addition	4	0	3	4	10	33	o01_to_04 o01_to_05	1				
arith_add_g04_00_o04_05	Addition	4	0	4	5	10	34	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g04_00_o05_06	Addition	4	0	5	6	10	35	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g04_00_o06_07	Addition	4	0	6	7	10	36	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g04_00_o07_08	Addition	4	0	7	8	10	37	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g04_00_o08_09	Addition	4	0	8	9	10	38	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g04_00_o09_10	Addition	4	0	9	10	10	39	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g04_00_o10	Addition	4	0	10		10	40	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g05_00_o01_02	Addition	5	0	1	2	10	41	o01_to_04 o01_to_05	1				
arith_add_g05_00_o02_03	Addition	5	0	2	3	10	42	o01_to_04 o01_to_05	1				
arith_add_g05_00_o03_04	Addition	5	0	3	4	10	43	o01_to_04 o01_to_05	1				
arith_add_g05_00_o04_05	Addition	5	0	4	5	10	44	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g05_00_o05_06	Addition	5	0	5	6	10	45	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g05_00_o06_07	Addition	5	0	6	7	10	46	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g05_00_o07_08	Addition	5	0	7	8	10	47	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g05_00_o08_09	Addition	5	0	8	9	10	48	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g05_00_o09_10	Addition	5	0	9	10	10	49	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g05_00_o10	Addition	5	0	10		10	50	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g06_00_o01_02	Addition	6	0	1	2	10	51	o01_to_04 o01_to_05	1				
arith_add_g06_00_o02_03	Addition	6	0	2	3	10	52	o01_to_04 o01_to_05	1				
arith_add_g06_00_o03_04	Addition	6	0	3	4	10	53	o01_to_04 o01_to_05	1				
arith_add_g06_00_o04_05	Addition	6	0	4	5	10	54	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g06_00_o05_06	Addition	6	0	5	6	10	55	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g06_00_o06_07	Addition	6	0	6	7	10	56	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g06_00_o07_08	Addition	6	0	7	8	10	57	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g06_00_o08_09	Addition	6	0	8	9	10	58	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g06_00_o09_10	Addition	6	0	9	10	10	59	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g06_00_o10	Addition	6	0	10		10	60	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g07_00_o01_02	Addition	7	0	1	2	10	61	o01_to_04 o01_to_05	1				
arith_add_g07_00_o02_03	Addition	7	0	2	3	10	62	o01_to_04 o01_to_05	1				
arith_add_g07_00_o03_04	Addition	7	0	3	4	10	63	o01_to_04 o01_to_05	1				
arith_add_g07_00_o04_05	Addition	7	0	4	5	10	64	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g07_00_o05_06	Addition	7	0	5	6	10	65	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g07_00_o06_07	Addition	7	0	6	7	10	66	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g07_00_o07_08	Addition	7	0	7	8	10	67	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g07_00_o08_09	Addition	7	0	8	9	10	68	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g07_00_o09_10	Addition	7	0	9	10	10	69	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g07_00_o10	Addition	7	0	10		10	70	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g08_00_o01_02	Addition	8	0	1	2	10	71	o01_to_04 o01_to_05	1				
