	Operation	Group	Group Offset	Ordinal Start	Ordinal End	Terminal End	Default Due	Tags	Op Index	Due Shift		Configs	Value
													
arith_add_g01_00_o01	Addition	1		1	1	10	801	single o01_to_04 o01_to_05	1	-		Due Increments	1
arith_add_g01_00_o02	Addition	1		2	2	10	802	single o01_to_04 o01_to_05	1			Max Ordinal	10
arith_add_g01_00_o03	Addition	1		3	3	10	803	single o01_to_04 o01_to_05	1				
arith_add_g01_00_o04	Addition	1		4	4	10	804	single o01_to_04 o01_to_05 o04_to_07	1			Operations	Serial
arith_add_g01_00_o05	Addition	1		5	5	10	805	single o05_to_07 o01_to_05 o04_to_07 o05_to_10	1			Addition	add
arith_add_g01_00_o06	Addition	1		6	6	10	806	single o05_to_07 o06_to_10 o04_to_07 o05_to_10	1			Subtraction	sub
arith_add_g01_00_o07	Addition	1		7	7	10	807	single o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1			Multiplication	mul
arith_add_g01_00_o08	Addition	1		8	8	10	808	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1			Division	div
arith_add_g01_00_o09	Addition	1		9	9	10	809	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
		-	-	-	-	-							
arith_add_g02_00_o01	Addition	2	0	1	1	10	810	single o01_to_04 o01_to_05	1				
arith_add_g02_00_o02	Addition	2	0	2	2	10	811	single o01_to_04 o01_to_05	1				
arith_add_g02_00_o03	Addition	2	0	3	3	10	812	single o01_to_04 o01_to_05	1				
arith_add_g02_00_o04	Addition	2	0	4	4	10	813	single o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g02_00_o05	Addition	2	0	5	5	10	814	single o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g02_00_o06	Addition	2	0	6	6	10	815	single o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g02_00_o07	Addition	2	0	7	7	10	816	single o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g02_00_o08	Addition	2	0	8	8	10	817	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g02_00_o09	Addition	2	0	9	9	10	818	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
													
arith_add_g03_00_o01	Addition	3	0	1	1	10	819	single o01_to_04 o01_to_05	1				
arith_add_g03_00_o02	Addition	3	0	2	2	10	820	single o01_to_04 o01_to_05	1				
arith_add_g03_00_o03	Addition	3	0	3	3	10	821	single o01_to_04 o01_to_05	1				
arith_add_g03_00_o04	Addition	3	0	4	4	10	822	single o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g03_00_o05	Addition	3	0	5	5	10	823	single o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g03_00_o06	Addition	3	0	6	6	10	824	single o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g03_00_o07	Addition	3	0	7	7	10	825	single o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g03_00_o08	Addition	3	0	8	8	10	826	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g03_00_o09	Addition	3	0	9	9	10	827	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
													
arith_add_g04_00_o01	Addition	4	0	1	1	10	828	single o01_to_04 o01_to_05	1				
arith_add_g04_00_o02	Addition	4	0	2	2	10	829	single o01_to_04 o01_to_05	1				
arith_add_g04_00_o03	Addition	4	0	3	3	10	830	single o01_to_04 o01_to_05	1				
arith_add_g04_00_o04	Addition	4	0	4	4	10	831	single o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g04_00_o05	Addition	4	0	5	5	10	832	single o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g04_00_o06	Addition	4	0	6	6	10	833	single o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g04_00_o07	Addition	4	0	7	7	10	834	single o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g04_00_o08	Addition	4	0	8	8	10	835	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g04_00_o09	Addition	4	0	9	9	10	836	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
													
arith_add_g05_00_o01	Addition	5	0	1	1	10	837	single o01_to_04 o01_to_05	1				
arith_add_g05_00_o02	Addition	5	0	2	2	10	838	single o01_to_04 o01_to_05	1				
