Kana	Recording	Romaji	Show Romaji by Default	Writing Tip	Writing Tip Illustration	Tags
あ	[sound:7biey7947yx7iz074op63ck7x_a.mp3]	a		"In <i>a</i>, it&rsquo;s important that the last stroke intersects the two places I have circled on the left. Notice, also, that the very end of the last stroke is &ldquo;trying&rdquo; to finish a complete circle. In other words, don&rsquo;t make it pointing down or some other direction."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_a.png"">"	hiragana gojuon seion a_series
い	[sound:7biey7947yx7iz074op63ck7x_i.mp3]	i		"Your main concern with <i>i</i> should be including the <i>hane</i>. Create it with a light flick of your pencil, much like you might make a check mark. Also notice that the second stroke is not as long as the first."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_i.png"">"	hiragana gojuon seion a_series
う	[sound:7biey7947yx7iz074op63ck7x_u.mp3]	u		"With <i>u</i>, be sure you angle the first stroke back, not making it a vertical line. Also, make sure that you start stroke two by veering northeast."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_u.png"">"	hiragana gojuon seion a_series
え	[sound:7biey7947yx7iz074op63ck7x_e.mp3]	e		"To make <i>e</i> look good, be sure to get the wave in at the end."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_e.png"">"	hiragana gojuon seion a_series
お	[sound:7biey7947yx7iz074op63ck7x_o.mp3]	o		"In <i>o</i>, notice how you can see the energy being directed to the final stroke. Follow this flow to keep the character fluid and great-looking."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_o.png"">"	hiragana gojuon seion a_series
か	[sound:7biey7947yx7iz074op63ck7x_ka.mp3]	ka		"When you write <i>ka</i>, try to keep it balanced inside a triangle formed by the second and third strokes. The first stroke comes down in the center of the triangle, parallel to the next stroke."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ka.png"">"	hiragana gojuon seion k_series
き	[sound:7biey7947yx7iz074op63ck7x_ki.mp3]	ki		You can place the last stroke correctly in <i>ki</i> if you imagine an oval sitting inside as shown here.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ki.png"">"	hiragana gojuon seion k_series
く	[sound:7biey7947yx7iz074op63ck7x_ku.mp3]	ku		"With <i>ku</i>, just keep the angle to about 90 degrees, perhaps a bit more, and you&rsquo;ll be good."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ku.png"">"	hiragana gojuon seion k_series
け	[sound:7biey7947yx7iz074op63ck7x_ke.mp3]	ke		"In <i>ke</i>, be sure to include a good <i>hane</i> at the end of stroke one. Also, notice that this character looks very good if you veer to the left at the end of stroke three, as shown here by the arrow."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ke.png"">"	hiragana gojuon seion k_series
こ	[sound:7biey7947yx7iz074op63ck7x_ko.mp3]	ko		Your main concern with <i>ko</i> should be to keep it from looking like an equals sign. You can do this by honoring the <i>hane</i> at the end of the first stroke and by keeping the two strokes far enough apart to imagine a square sitting between them.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ko.png"">"	hiragana gojuon seion k_series
さ	[sound:7biey7947yx7iz074op63ck7x_sa.mp3]	sa		"As with <i>ki</i>, imagine an oval sitting inside <i>sa</i> to help place the final stroke."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_sa.png"">"	hiragana gojuon seion s_series
し	[sound:7biey7947yx7iz074op63ck7x_shi.mp3]	shi		"Don&rsquo;t make <i>shi</i> look like a fishhook. You can avoid this by making the end of it point off at a 45-degree angle, not straight up."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_shi.png"">"	hiragana gojuon seion s_series
す	[sound:7biey7947yx7iz074op63ck7x_su.mp3]	su		"Just as in <i>ke</i>, this character looks the best when the final stroke veers to the left at the end. Also, keep the loop nice and open. Japanese people often exaggerate it, so don&rsquo;t worry about making it too large."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_su.png"">"	hiragana gojuon seion s_series
せ	[sound:7biey7947yx7iz074op63ck7x_se.mp3]	se		"Besides being careful about the <i>hane</i> as always, note that the first stroke runs uphill very slightly."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_se.png"">"	hiragana gojuon seion s_series
そ	[sound:7biey7947yx7iz074op63ck7x_so.mp3]	so		<i>So</i> can be a hard character to write nicely. One thing that can really make a difference is opening up that last curve. Imagine there&rsquo;s a plump oval sitting in there.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_so.png"">"	hiragana gojuon seion s_series
た	[sound:7biey7947yx7iz074op63ck7x_ta.mp3]	ta		You&rsquo;ll notice that there is a small <i>ko</i> inside this character. Give the mini-<i>ko</i> the same <i>hane</i> it gets in its grown-up version.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_ta.png"">"	hiragana gojuon seion t_series
ち	[sound:7biey7947yx7iz074op63ck7x_chi.mp3]	chi		"In <i>chi</i>, be sure that the round part of the last stroke starts by veering up slightly, as shown by the arrow."	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_chi.png"">"	hiragana gojuon seion t_series
つ	[sound:7biey7947yx7iz074op63ck7x_tsu.mp3]	tsu		<i>Tsu</i> is easy to remember if you imagine the breaking wave of a <i>tsunami</i>.	"<img src=""7biey7947yx7iz074op63ck7x_tips_hiragana_tsu.png"">"	hiragana gojuon seion t_series
